,text,Labels
2478,आपका समझाने का तरीका बहुत ही अच्छा है सर हर एक टॉपिक को बड़े बेहतरीन तरीके से समझाते हैं,Not-Hope
1232,"earlier, I thought u got good mindset but rn ehhhw you calling is abnormal!??",Not-Hope
2153,Me lesbian hu,Hope
3029,Marwaega ka screenshot leke ghar me bolenge yahi sab padh rahe ho.,Not-Hope
1616,Sir apko yhi nhi pta hai ki there is a huge difference in between GENDER and SEX. ....lol..........,Not-Hope
2943,"Yes 
This is seen in some gorillas , monkeys , giraffe , dogs , and some birds 
It is natural",Not-Hope
1425,Ye koi bimari nahi hai dost,Hope
2390,Sir intersex me ak hi person dono ling hote hai penis or virgina ...or hota hai to ak male ya female me 2 gupt ang kese manage hoge ....kyoki space to 1 gupt ang ki hi hoti hai,Not-Hope
219," @rajeev ranjan  who is this indian industrialist ?,can you name him plzz",Not-Hope
367, @ज्योति शर्मा  Bilkul aapko haq he ...but jede aapko he wese hi hume bhi he humare baat rakhne ka haq,Not-Hope
2227,Aapne queer Ke bare me nahi bataya kya hota queer ?,Not-Hope
2140, @Ram Kumar   isliye proper information hona important hota he... Cz LGBTQ community me anewale log koi patient nhi hote he jinko ap treat kroge thats a normal personality trait... Agar aj bhi yaha survey kiya jaye to bohot se log is community se belong krenge and I always says that IT'S NOT A CRIME😊,Hope
2436,Sir bhim rav ambedakar ke baare me video banaye,Not-Hope
2288,Sir testosterone level KO kaise thik kare  kya khaye or kya avoid kre,Not-Hope
1509,Femboy bhii hota he sir,Not-Hope
351, @sk  lgbt nhi hai ye,Not-Hope
1289,Thailand mein jyada couple gay hote hai,Not-Hope
1552,male female ko disorder isleye nahi kehte h kyunki usse off springs nikalte h hamare genes ke. Par vo chiz LGBT me nahi hoti na,Not-Hope
2043,HOMO SEXUAL LOGON KO MANSOPCHAR TADNYA KE PAAS JAANE KI SALAH KYON NAHIN DIYA JAATA,Not-Hope
490,Gourav mujhe bahut pasand thaaa yrrrr❤️☹️,Not-Hope
2871,"gay hona koi bimari nahi he .ye natural he.koi bhi dil or Surat se beutiful ho uspe dil aana wo chahe sexually ho ya koi or chahat se .,wo swabhavik he jahaz he",Not-Hope
2534,Plz make videos in English.,Not-Hope
498,"'Baayka'; ""purush"" zhaalya aahet assa ek hi 'video' nahi aahe naa?, pan 'purush' ""baayka"" zhaalela video aahe?, pan 'evadha' saagla aasoon dekhil purushanchyaa, ""navane"" khade, phodayche chal le la aahe!!!!!!!,..............????????",Not-Hope
1880," @ã   Inbreeding depression bolte h,  scientifically proved h....  Qurn kitab ke kido ko samajh nhi ayega",Not-Hope
210,Last may jo aap bol rahe h usko follow b Karo khud ladke hoke ladki ki awaz nikal rahe ho,Not-Hope
1356,Pahli bar sir samj me aya 🙏🙏,Not-Hope
785,Aesa nahi hh...but jo larki hai unko larka bnna psnd h jo larke h unhe larki bnna psnd .h to wo.apni.life aage jee skte hhh.....isme koi galt bat ni haiii....or hum or ap norml h jo normal nhi h unse  pucho unhe kaisa feel hota h,Hope
650,Mota maal,Not-Hope
227,Shadi bi kon karta hai yaar kahanse milte pata bi nahi,Not-Hope
365, @Lata Gidwani  देखती हूं,Not-Hope
764,Bahutai Dhansu Video hai bhai Upsanhar News Apka,Not-Hope
276,Suchchi,Not-Hope
2354,Haan😂!!,Not-Hope
831,Sir tom boy  hetro sexual mai aate hai or homo sexual mai,Not-Hope
776,"totttaly agree with uh brp..
pta nhi kya dimag me aata hai apni body ke saath khilwar krte h..",Not-Hope
1102,Naa sirji aapka concept ee wala subject me clear naa hau,Not-Hope
839," @Nakul Das  Fyi gays namard nhi hote,ek male ki sari qualities hoti hai bas attraction males ki taraf hoti hai",Not-Hope
407, @Savage Diva  hamne suna hai  ki jo apne aap ko jayada akal mand kehta hai we log to sabse bade murkh hote hai sister,Not-Hope
3074,"Kon kon LGBT community vale dekh rhe ho please like here 🏳️‍🌈👍
👇
👇",Not-Hope
2178,ek tarfa style hai guru ji k pdhaane k .. maan gye guru ✌️,Not-Hope
2496,Sir Aap live kab padhete hai,Not-Hope
1716,"Jo bhi hai harmonal, mental...unhone pehle hi bol diya tha ki dukhi mat hona...",Not-Hope
1739," @LIMITED GAMER  bhot h bhai aapke Or mere jese , or ye hame homophobe transphobe kehte h😂😂 USA m bhi inke oppose kra gya h watch Ben shapiro. He oppose this",Hope
2571,Wahh,Not-Hope
759,#Narendra kalasua nahii kue ke uska utras nahi hota,Not-Hope
7,"bas ek baat batao,

ye mard hai ki janana?",Not-Hope
1915,Bhai ji os ko ladki ko kya kehete hai jiska guptag hota hai...,Not-Hope
2686,Thank you very much Guruji for information 👍,Not-Hope
1844, @Eren Yeager  you are trying to educate me regarding lgbt topic but then your first words are “ bts gay”…😑…Tuh pehle sides decide karr..,Hope
415,Ekdam sahee,Not-Hope
1094,Lesb gay ya bi ye koi chhakar hi hota hai,Not-Hope
1749,Sir ye sahi nhi hai lgbt wale rangdar k tarah train me manmana paisa mangte hain family k samne kahi v gandi aslil tarah se krte hain kahi v nanga ho jate hain esko kaise sahi maan sakte hain ....job to wolg k liye v option deta hai transgender wale v form bhr sakte hain wolg Jan bujh k khud ko alag dikhate hain,Not-Hope
809,"ghareeb  ko  chahiye  ,  do  waqt  kee  roti  ,  bane  ""muslim  rashtara""  ya  ""hindu  rashtara""!",Not-Hope
1338,"जय हिंद सर आपने बहुत ही अच्छी जानकारी दी है तहे दिल से धन्यवाद

जो यह रोग से पीड़ित हैं उन्हें कौन से डॉक्टर से सलाह करके इलाज कराना चाहिए सो भी बताइएगा

इस रोग से बाहर आ सकते हैं क्या
क्या यह शारीरिक दोष समझ के स्वीकार कर लेना चाहिए
कृपया बताइएगा धन्यवाद",Hope
199,Hr chij me pyesa lgta h to isme bhi lgega,Not-Hope
2798,Sir lesberian female ki mentally change nhi kar sakate h kya  koi consular ke jariye .hamare mohalle me ek tom boy ladki rahti h,Not-Hope
1818,"Sex organ means gamete producing organ i.e. testies (andakosh) in male OR ovary(andashay)... 
Transgenders don't have these.",Not-Hope
1149,I'm gay from up North hamne kabhi apna nahi soncha onli ma bap ko khush dekhna chahta hu isliye kabhi kisi ko bola nahi ab kam ki talash hai kisi maim ya Sir ko family draivar ki zarorat hai to bolna pleez mujhe khana bhi banana aata hai shukriya,Hope
283, @Sabita Hansda  tumarhe parents tumhe moral values sikhana bhul gye,Not-Hope
231,Mard se aurat bane ine logon ne kya abhi tak koi bacche paida kiye Hain ya nahin,Not-Hope
2189,"Sir ji apka transgender wala topic wrong h ,, transgender or kinnar alg h,,,, transgender means jo apna xender purus se mahila or mahila se purush m paribartan karta h by operation,",Not-Hope
2741,Sir ap ko dil se salute,Not-Hope
96,Mujhe bhi apna ling chanj karwana hai,Hope
1563,Natural to bilkul ni h ye...agar koi janm se andha lngda paida hota h..ya khud se roshni chli jati h...to kya usko illness ni bologe?,Hope
2744,,Not-Hope
3130,Hii,Not-Hope
2725,सर आप किसी भी टॉपिक को बहुत अच्छा समझाते है....,Not-Hope
1941,Bahut Achha explanation 🏵✍️,Not-Hope
2766,Jiya ho Bihar me lala bahut achaa samjhi ha ha khan sir,Not-Hope
3056,Sir jaruri nhi ldka attact h to dusra ladka attacrt ho jaye,Not-Hope
2762,सर इंटर सेक्स वाला है वो कैसे किसके साथ सेक्स करेगा,Not-Hope
2522,"He's wrong in this topic. Stop idolizing him. He's not educated enough about gender identity, queer Or LGBTQ+ community.",Not-Hope
1586,Tumhare  zamane mai rog hoga is zamane mai nahi hai update kar lo khud ko,Hope
104,Daya ben voice over kr rhi h is video ka🤣😂,Not-Hope
2607,Meko aaj samjh aya re baba.,Not-Hope
1690,Natural to bilkul ni h ye...agar koi janm se andha lngda paida hota h..ya khud se roshni chli jati h...to kya usko illness ni bologe?,Not-Hope
1159,"If you don't have enough knowledge on a particular topic, just don't make video about it. Get a medical degree before calling homosexuality as a "" Mental disorder """,Hope
2884,Thanks sir i randomly found this video but this is super..i used to  be confuse every time when i read about them any where but now my concept is clear...,Not-Hope
1071,जो इन्टर सेक्सुअल होते है क्या वो किसी लडकी या लडके से या दोनो से बारी बारी सेक्स कर सकते है और वच्चा हो सकता है,Not-Hope
1980,Mentally disorders Nahi hota hai 😂 hormones ki waja se hota teacher ji phele khud Tu Sahi information collect karlo😂😂😂😂,Hope
2403,"Mujhe 🙃
I acpt myself",Hope
2622,Khan sir  ap great ho,Not-Hope
744,Tera appreciation manga kon ?,Not-Hope
226,Bhagwan dushman k saath bhi na kre ye sab....,Hope
2691,अबे यार गूगल पर डालो तो साला समझ है नहीं आता सही से।पर आज सब आ गया 👍🙏🙏,Not-Hope
3066,Hi,Not-Hope
3050,Ab jankari juta hi liye to try krke dekh lo,Not-Hope
2458, @Aryam  iske cause bhi pata honge tabto?,Not-Hope
1756,Nai,Not-Hope
2656,😐,Not-Hope
2849,Apko Esme bohat interstate he sayad😀😀,Not-Hope
2110,12 ki live class kb chalti h please btaiye,Not-Hope
1336,"जय हिंद सर आपका बहुत-बहुत धन्यवाद
आमिर खान का एक सीरियल आता था सत्यमेव जयते उसमें भी यह सवाल उठाया था",Not-Hope
1173,Taki sb confused hoke pgla jaye.😐,Not-Hope
829,"Jab XX  XYL Mil Jaata Hai 
Tab Gay Paida Hota Hai

XX in MALE
XY in Female
L in Lib
= Neutral

XL = नामर्द
YL= बांझ औरत (Rare )",Not-Hope
840,depends tomboy sirf ek term hai ye koi sexuality nhi hai,Not-Hope
1991,Waah guru waah bohat asha samjate ho aap,Not-Hope
1511,"Thank u sir, mughe isme  bahut confusion lekin ab khatam ho gaya",Not-Hope
2563,"Isse jyada koi nahi smjha skta..!!
😊😊",Not-Hope
1073,Sir bisexual m dal sakte h. Qya jaise earthworm 🙏🏼🙏🏼,Not-Hope
1913,Transzender nahi samjhe,Not-Hope
464,Nikki to sakti m aa rhi h heer ki nand ban kar sayd,Not-Hope
929,Yes... Jabse insaan ka astitva raha hai,Hope
1406,Khan Sir Aap Mujhe bahut pasand hai,Not-Hope
1128,🤣🤣🤣🤣waaah kya samjhaya h,Not-Hope
1475,"Hamare desh ko samajik sudhar, sahi soch ki bahut jarurat hai",Hope
2221,"Kinnar, hijada, chakka 😂😂😂😂😂😂😂😂 desi language OP 😂😂",Not-Hope
2170,Bhagwan ka sukra manaiye ki aap ko bhagwan ne sahi paida Kiya hai. Kya bat boli hai sir aapne,Not-Hope
1829,10 million kar do khan sir kai ❤️❤️,Not-Hope
3198,"Sir beshak aapne pura topic cover kar liya. But out of respect I would like to add some things :- 
1. Transgender bi 2 tarah ke hote h - MALE transgender(jinki body male ki lekin private part female ka) & FEMALE transgender(body female ki aur private part male ka)",Not-Hope
212,Sab ladke ladki bne ...par koi ladki ladka nhi bani😂,Not-Hope
12,Respect her...she is so knowledgeable person..aysa lag rahi hai unke baaten sirf sunte jau...wow...God bless ..actually  kinnar kuchh nehi hota ..sab ham insaan hai,Hope
3099,XD,Not-Hope
422, @rajeev ranjan  एक काम करो भाई आप आप लड़का से लड़की बनजाई translet कर के किया दिकत है,Not-Hope
3154, @Rahul Mittal  🙏🙏,Not-Hope
1084,"कबीर, मानुष जन्म दुर्लभ है मिले न बारंबार तरूवर से पत्ता टूट गिरे बहुर न लगता डार।।",Not-Hope
1089,"purani video hai , nayi video dekho usme accha hai",Not-Hope
2681,Itna gyan kah a se laye sir,Not-Hope
741,Normal topic hai bro - tumhare liye new ho ga,Not-Hope
2820,❤❤❤❤,Not-Hope
945,Sir non binary kya hota hai,Not-Hope
1587,Do your homework before making a video on sensitive topic,Not-Hope
1181,"please remove these two vulgar words -  हिजड़ा, छक्का 😡😡😡😡😡😡😡 this is totally disrespectful",Hope
2500,"Being lgbt is not a mental disorder, this guy needs to educate himself!! I'm a lesbian and a very very proud one! I am as normal as everyone else! And yeh kam nahi hota hai, itna ghatiya samaaj hai ki log apne andar ghut te rehte hain bata nahi pate.",Not-Hope
2946,"Sir merko naa to ladki passand aa rahi hai aur na ladka.

Khadda bhi ho jaata hai..😂😂😂😂😂


Doctor ke paas jaaun kya?😑😑",Not-Hope
509, @Juhi sha  jaky fir khud puchoo allh se Kyu banaya  inko chakka...waisa b Jo alaah. Janta hai woh koi nhi janta,Not-Hope
644, @Anurag Pawar   Abe To Kya Hua Fir Bhi to samajh a Raha Hai Na Sabko Aisa To Nahin kya samajh Nahin Aata hoga han aur Gyan kisko de raha hai tu Tujhe Kuchh bola kya Teri Itni Kyon jal rahi hai,Not-Hope
597,"चाहे जो हो धर्म तुम्हारा चाहे जो वादी हो 
नहीं जी रहे अगर देश के लिए तो अपराधी हो ।🙏🌺🌺🌺🌿",Not-Hope
2756,"Nice explanation ... Hame in logo ki respect krni chahiye qki ye bhi hmare samaj ka hissa h.
Pr kuch mansik roop se bimar log inhe inke hi samaj m rhne se rokte h inhe vanchit rakhte h or bhul jate h ke ye samaj or vatabaran jitna unka h ,utna hi in logo ka,. Mansik roop se ye log bimar nhi h, balki vo log bimar h jo normal hote hue bhi inke sath abnormal pesh ate h , yr ye bhi insan inhe bhi us nature ne banaya h jisne hme .. Thodi to respect kia kro",Not-Hope
2631,"Sir, male male se kaise hoga.... Loha loha takrayega to chingari niklegi",Not-Hope
1778,"Sir , Usko kiya bolte hei ..jo operation karke Ladka see ladki banke Shadi boy se kar leite hei ...kiya wo 3rd gender hei ..meine toh ushe transgender samja thaa ...🙄🙄🙄 3rd gender train mei milnewale ko",Not-Hope
903,"Please
Inter-sex फिर से समझाए",Not-Hope
3144,Bhai tuje konsi bimari he. Mentally ya physically wo bhi bata,Not-Hope
518,Bilkul sahi kaha,Not-Hope
2232,Kisi ladki ko ladko ki aur dekhana bura mana jata hai isiliye phir woh ladkiya ki aur attract ho sakti hai ya,Not-Hope
1740," @Kishori Ji  Tumhari soch etni gawaro jaisi hai... Homosexuality se Kya ho jayega... Apni purani soch ke Sath Jio.. Tum
 you can't growing your self... Kya matter karta hai.. Sabki apni personal life isse Kisi ko kya dukh hoga... And don't think ...im not agay because I'm married I have my own kids 😎",Not-Hope
573,Ghar wale maarenge ya datenge but they will save you from any condition … and they are the only one who will standup at any cost nor your friends… talk to them ❤,Hope
3125,Jai hind sir,Not-Hope
2948,Aawaz record achi nhe hoi,Not-Hope
1270,सर फीमेल फीमेल कैसे रिलेशन  बनाती है,Not-Hope
2730,खान सर जी इस कलयुग में सब कुछ इधर-उधर हो गया है बताएं आज के डेट में लोग कुत्ता कुत्ते गाय भैंस गधा किसी को नहीं छोड़ते इसका प्रभाव क्या है वैसे तो हर एक प्रजाति को अपनी प्रजाति के प्रति ही लगा होना चाहिए लेकिन यह क्या है कि लोग किसी भी जीव को अपना आधार बना देते हैं और हवस मिटाते हैं,Not-Hope
1694,Bisexuality sabse jyada khatarnak he. Na iss paar na uss paar.,Not-Hope
2240,Phir gender change krvate h Vo kis category me aye honge??,Not-Hope
3026,Mai Hindu  hu  but  mai  saare  videos  dekhta  hu...aur  khan  sir  ko real  Indian  deshbhakt  ki  tarah  dekhta  hu...the  real  hero,Not-Hope
123, @Harshwardhan Bhadane  kya kah rahe ho sisy kya he Mera bf tha per abhi brekap ho gaya or usko ladkai pasnad he or vo sirf sex k liye muzhe use Kiya or muzhe usane sirf paiso ki help ki thi vo bhi abb kah raha he ko ab mene mesej kiya to vo police case karega usane muzhe paiso ki dhamki de alag kar diya pr muzhe barabad,Not-Hope
3023,Bhut km nhi bhut log h...homosexual 😂 khud bahar nhi aate sir,Not-Hope
2793,Sir i still have confusion with inter sex 🤔,Not-Hope
220,Bn gye h  transman ka hmara group h,Not-Hope
819,Aapko Dil se Dhanyawaad Sir Itna Kuch Samjahne Ka Liye ❤️,Not-Hope
3103,"Haa sahi kaha,
But muzhe to ladki ke sath hi hai but ladki milti hi nahi😔😔",Not-Hope
358,aisa bh hota hai koi ldki ho...woh ldka bnna chaa raha ho...yaa woh dikhh bilkul ldki ki trnh raha ho....pr uski lowwr body ldko ki trnh ho....kya je possible hai??? kahi woh ldki ....transgender toh nahi??? if someone knows plz rply me...agr trtmt possible thn also rply me,Hope
2365,Very good. Bahut achha samjhaya,Not-Hope
2821,Bhagwan ka shukr sahi  salamat paida kiya aani bat sir,Not-Hope
551,"Fake hai bhai, pura toh english mein bola, jis ko English samajh na hai unko to samjha rahi hai.",Not-Hope
2098,Mujhe to bilkul bhi interest nai hai shaadi me. Mujhe female jaisa banna pasand hai.,Not-Hope
2316,"Sir I feel I m bi sexual, 
पता नहीं हु या फिर वो मेरी हवस थी",Not-Hope
259, @sk  isa foreign country me bhi hota hi but vo log dimaag se bhut sankirn ho gaye hi . Or kanun Kya hi sabse bada uparwaale ka kanun hi . Bible kahati hi ye galat hi. Bible ke anusaar isa karna galat hi ise log narak ki aag me daale jayenge.,Not-Hope
2961,khan sir ye shemale kis group me ate hai. jinke pas breast hota hai aor penis v hota h. aor wo body relasn v bana sakte hai???,Not-Hope
2452, @Manoj Ji  bhai develop hi nhi hua toh issliye lactation bhi nhi hota. Sunaa karo sir kya bol rhe hai.,Not-Hope
2804,asexual,Not-Hope
3172,Khan sir salute,Not-Hope
2464,sab kuch thik tha... bs ye rog nhi hai... 4:26  bhagwaan ki banawat hai... prakritik hai.... Aur aap bhot ache video bnate hai..  bnate rahiye,Hope
2841,Inter sex baby hoga,Not-Hope
3037, @hey  how you doin,Not-Hope
1963,Transgender or Transexual b bta dete jb itna btaya aapne to...,Not-Hope
1714," @Krishna K. B.   chacha, class 1 me hoke ese badon ki baatein nehi karte. Spelling toh aati nehi aaya bada baat karne harmonal 😂😂😂",Not-Hope
1507,"Mera soch kahata hai
Aapke jaisa dusara teacher to hai hi nhi sir ji 
Bahut aasan bhasha me explain karte hai aap 
Jo aapke samjhane se nhi samjhega usko koi nhi samjha payega.",Not-Hope
2902,Yep- I am bisexual myself 😌👑,Not-Hope
2487,Insano ka kaam khali bcche peda krna hota h khud li life jine ka hk nhi h??,Not-Hope
456,Kas ldki v ldka ban skti thi,Not-Hope
462,Kuch bhi,Not-Hope
2380,Kya lesbian ko periods hoti haii ??,Not-Hope
932,Sir sab natural hota hai . nature khud ko balance karke chalti hai animal human sabme ye sab normal hota hai........taki population balance rahe isme koi khoon kharaba nahi hota hai...aur ye kam  dekhe jate hain 😂 ..par kam hote nahi hai .....yaha priwar ke liye sab chupa lete h yaha.. agar sabka adhikar hota samaaj me to population automatically control ho jaati aur jo bache aanath hai unko ghr milta ...... Par yaha sab befkoof hai,Hope
1725, @LIMITED GAMER  bhai tu kamasutra ke baare me bhul gaya wo bhi india ke culture se hi aaya tha . Kabhi kabhi apne chhote se bulbule se bahar nikala kar😂,Not-Hope
2307,Sir shemale pe bnaye veideo,Not-Hope
381,Achha hai nahi hota 🤪🤪🤪,Not-Hope
2988,Nice awareness about gender,Not-Hope
2529,"Come on grow up, ye LGBT koi beemari nahi,",Not-Hope
2238,Kas aapki soch jaisi puri dunia ki hoti tb sayd log hme samjh pate sir ji,Hope
887,"🙏 
आज तक मैं सभी को हिजड़ा ही समझता था",Not-Hope
3129,Yes,Not-Hope
2416,Bhagwan dono hote h,Not-Hope
1606,कल बकरीद है। बेजुबान गोट्स को बलि से बचाए।ये गलत परम्परा को बंद करने के लिए अपील कीजिए।,Not-Hope
3118,Bahut badhiya sir ji . Doubt clear👍❤️,Not-Hope
59, @Maniesh Paul  thank u sir aapne reply Kiya mien aapki bohot badi fan hu 😁😁😁😁😁😁,Not-Hope
1179,Sir kya intersex wale v reproduction kr sakte hi kya,Not-Hope
2905, @SRISHTI SHARMA 🆅  😆Yes i am bi,Not-Hope
2547,Inter sex fir se samjao,Not-Hope
3201,You are giving your personal views and making it biased. It is expected to only give the information.🙏,Not-Hope
1632,Bhai 😂 ye necessary tha kya,Not-Hope
